Index,subindex,Cluster,Name,Country,MW install,PG,D,WT densi,AreaR_Afarm,Ht,A,Href,Nt,lambda,k,Average wind speed,Nrowscale parameter,Nturb_effective,Nturb_frontal_area,CF,Wind farm density,Year production TWh/year,Source power,Coordinates,k_ref,A_ref,A_h,lat,lon,lat2,lon2,Area,Nwt_rows,Nwt_row_wf_neighbors,Cf_Free,Cf_Inf,Cf_Model,U_Free,U_Inf,U_Model,G_Model,U_rated,Phi_Model,Phi_Model_redo,Phi_Model_a5p3,Cf_Model_redo,Cf_Model_a5p3
30,0,4,Trianel I and II,DE,403.2,5.58,133.2,400,0.018,90.0,55.6,100,72,11.22,2.4,9.94632924896539,2.5,72,6.5,34.3172157944919,7.25,1.21,Germany 2nd table sheet,54°2′30″N 6°28′0″E,2.4352331161499023,11.145977400298296,11.060975407684356,54.041666666666664,6.466666666666667,54.04868194444444,6.461113888888889,56.028093380200325,13.543900000000002,10.258,0.5947817022653282,0.39923615577548943,0.4417862360424771,9.94632924896539,7.62512168918771,8.149005320560736,12.146261933282025,11.243218420537682,1.3906280858233733,1.3443815916920638,1.252980901203674,0.46721108545650974,0.5195139958352648
31,0,4,Merkur,DE,396.0,6.0,150.0,340,0.0248,100.0,47.0,100,66,11.22,2.4,9.94632924896539,2.5,66,5.0,41.5488535644717,8.43,1.44,Germany 2nd table sheet,54°2′0″N 6°33′0″E,2.438502311706543,11.133242593325663,11.133242593325663,54.03333333333333,6.55,54.044272727272734,6.555739393939393,39.59984591281788,11.622962296229623,3.745474547454746,0.6315821186940759,0.4068734597491371,0.44943191788264814,9.94632924896539,7.2908650663748364,7.793793873281591,12.047769856741818,10.641552094066878,1.3795104568385734,1.3991521009649666,1.1988652973102458,0.43875378409273397,0.5534699962362812
32,0,4,Alpha Ventus,DE,60.0,5.0,121.0,435,0.0345,92.0,4.0,100,12,11.22,2.4,9.94632924896539,2.5,12,1.0,35.3881278538813,15.0,0.19,Germany 2nd table sheet,54°0′30″N 6°35′54″E,2.4450578689575195,11.118478905832902,11.051374859534098,54.00833333333333,6.598333333333333,54.01095000000001,6.606525,3.910718988465261,4.8921,1.7949,0.5757250616706313,0.3529900349473783,0.39939316551472265,9.94632924896539,7.363148755282892,7.90131134048653,12.125587355604331,11.556202743037751,1.4741881769462961,1.4037438021260047,1.161856042945675,0.4362790140027047,0.5757250616706313
33,0,0,Riffgat,DE,113.4,3.78,120.0,334,0.0565,90.0,6.0,100,30,11.0,2.4,9.75130318526019,2.5,30,7.0,37.3772881383231,18.9,0.37,Germany 2nd table sheet,53°41′0″N 6°29′00″E,2.474616050720215,10.84966448272877,10.766922246036279,53.68333333333333,6.483333333333333,53.69240333333333,6.475443333333333,5.97669765649716,11.000000000000002,11.000000000000002,0.6220332987116739,0.29190441792666355,0.48447959838458615,9.751303185260184,6.185739923133932,8.265651777154023,11.893120096171062,10.585836140775438,1.3167633638755105,1.1308156371510782,1.1031299654133473,0.5945225586462564,0.6113513795654585
34,0,0,Gemini,NL,600.0,4.0,130.0,301,0.0284,89.0,70.0,100,150,11.22,2.4,9.94632924896539,2.5,150,26.0,45.4604261796043,8.57,2.39,Dutch sheet,54°02′00″N 5°57′47″E,2.400893211364746,11.134431905484067,11.040512984692532,54.03333333333333,5.963055555555556,54.035987999999996,5.963183999999999,103.27160126272707,22.0213,22.0213,0.6569277068234649,0.39814973411065435,0.510286855619539,9.94632924896539,6.925745855530304,8.234665288867898,12.156798351678656,10.226801509608517,1.2719473786646276,1.3016318150626043,1.2722096986741516,0.49312685695233127,0.5101341389785461
35,0,0,Fryslan,NL,382.7,4.3,130.0,324,0.0338,115.0,35.0,100,89,10.7,2.4,9.48535855293491,2.5,89,12.0,37.6590030222655,10.93,1.26,Dutch sheet,53°0′0″N 5°16′0″E,2.429959297180176,10.282929830454215,10.386955102656932,53.0,5.266666666666667,53.00157688202247,5.263472383146068,32.60207584632045,14.520352035203521,14.520352035203521,0.6105334515198273,0.34749589297756917,0.43616023855361125,9.485358552934906,6.624903175132446,7.5891015920518905,11.332754371471445,10.476333495320375,1.4039645657737299,1.3697680619655586,1.297900173317358,0.4547823522054917,0.49527009781849557
36,1,0,Princess Amalia,NL,120.0,2.0,80.0,398,0.0207,80.0,14.6,100,60,10.6,2.4,9.39671034215981,2.5,60,11.0,43.0030624782234,8.22,0.45,Dutch sheet,52°35′22″N 4°12′23″E,2.2790746688842773,10.590628450366298,10.419572126884884,52.589444444444446,4.206388888888889,52.58754833333334,4.224013333333333,13.84564120977943,9.399539953995399,9.399539953995399,0.5564078896277451,0.34319909245624547,0.4409197911598495,9.396710342159814,7.052785537277036,8.127084367473781,11.539060513400779,11.219290807057796,1.3951457584719988,1.4216620289752326,1.308693849144399,0.42670178443777934,0.48908232044836897
37,2,0,Luchterduinen,NL,129.0,3.0,112.0,305,0.0169,81.0,25.0,100,43,10.6,2.4,9.39671034215981,2.5,43,10.0,43.0030624782234,5.16,0.49,Dutch sheet,52°25′0″N 4°10′0″E,2.2931203842163086,10.481425322689928,10.321557415934794,52.416666666666664,4.166666666666667,52.40455813953488,4.163044186046512,15.144648405519337,10.3776,10.3776,0.6180563519499516,0.4403659230518515,0.5436743119460957,9.396710342159814,7.350311911978549,8.54007839226976,11.527853039378378,10.262278609609961,1.215275177613048,1.2087302198865517,1.1482002731145244,0.5475752367107425,0.5839828658062137
38,0,5,Borssele I-II,NL,752.0,8.0,167.0,365,0.016,116.0,128.3,100,94,10.6,2.4,9.39671034215981,2.5,94,8.0,41.0068331228343,5.86,2.7,Dutch sheet,51°38′24″N 3°4′12″E,2.344485282897949,10.5030007797996,10.615834498318705,51.64,3.0700000000000003,51.69128404255319,3.068708510638298,132.85841945788752,19.940405959404064,13.73192680731927,0.5766300539646534,0.4035447798965252,0.44037143395357375,9.396710342159814,7.437340221238838,7.854227465406085,11.212713896602786,10.903545650547176,1.3961589345415955,1.3481865254720096,1.2928756381727062,0.46675739465525745,0.4981624093133738
39,0,5,Norther,BE,370.0,8.0,164.0,379,0.0211,98.0,44.0,100,44,10.6,2.4,9.39671034215981,2.5,44,6.0,38.5968159940763,8.41,1.25,Belgium wind farms sheet,51°31′41″N 3°01′55″E,2.373847007751465,10.4228748272556,10.407633241455443,51.528055555555554,3.0319444444444446,51.525899999999986,3.0124886363636363,35.45831779879552,10.385299999999999,7.8468,0.5681200023851037,0.36785661001695463,0.4149111724598539,9.396710342159814,7.175685548154933,7.93285306484862,11.358572580304443,11.03611358406523,1.404024081658314,1.365491151537422,1.2419473120669031,0.4349028715423131,0.5021880059907473
